🔥[电信]央视卫视直播,#genre#
CCTV1综合,http://101.200.122.188:1234/608807420
CCTV2财经,http://101.200.122.188:1234/631780532
CCTV3综艺,http://101.200.122.188:1234/624878271
CCTV4中文国际,http://101.200.122.188:1234/631780421
CCTV5体育,http://101.200.122.188:1234/641886683
CCTV5+体育赛事,http://101.200.122.188:1234/641886773
CCTV6电影,http://101.200.122.188:1234/624878396
CCTV7国防军事,http://101.200.122.188:1234/673168121
CCTV8电视剧,http://101.200.122.188:1234/624878356
CCTV9纪录,http://101.200.122.188:1234/673168140
CCTV10科教,http://101.200.122.188:1234/624878405
CCTV11戏曲,http://101.200.122.188:1234/667987558
CCTV12社会与法,http://101.200.122.188:1234/673168185
CCTV13新闻,http://101.200.122.188:1234/608807423
CCTV14少儿,http://101.200.122.188:1234/624878440
CCTV15音乐,http://101.200.122.188:1234/673168223
CCTV17农业农村,http://101.200.122.188:1234/673168256
CCTV4欧洲,http://101.200.122.188:1234/608807419
CCTV4美洲,http://101.200.122.188:1234/608807416
CGTN外语纪录,http://101.200.122.188:1234/609006487
CGTN阿拉伯语,http://101.200.122.188:1234/609154345
CGTN西班牙语,http://101.200.122.188:1234/609006450
CGTN法语,http://101.200.122.188:1234/609006476
CGTN俄语,http://101.200.122.188:1234/609006446
CETV1,http://101.200.122.188:1234/923287154
CETV2,http://101.200.122.188:1234/923287211
CETV4,http://101.200.122.188:1234/923287339
老故事,http://101.200.122.188:1234/884121956
发现之旅,http://101.200.122.188:1234/624878970
中学生,http://101.200.122.188:1234/708869532
CGTN,http://101.200.122.188:1234/609017205
东方卫视,http://101.200.122.188:1234/651632648
江苏卫视,http://101.200.122.188:1234/623899368
广东卫视,http://101.200.122.188:1234/608831231
北京卫视,http://101.200.122.188:1234/630287636
辽宁卫视,http://101.200.122.188:1234/630291707
河北卫视,http://101.200.122.188:1234/962042070
江西卫视,http://101.200.122.188:1234/783847495
河南卫视,http://101.200.122.188:1234/790187291
陕西卫视,http://101.200.122.188:1234/738910838
大湾区卫视,http://101.200.122.188:1234/608917627
湖北卫视,http://101.200.122.188:1234/947472496
吉林卫视,http://101.200.122.188:1234/947472500
青海卫视,http://101.200.122.188:1234/947472506
东南卫视,http://101.200.122.188:1234/849116810
海南卫视,http://101.200.122.188:1234/947472502
中国农林卫视,http://101.200.122.188:1234/956904896
兵团卫视,http://101.200.122.188:1234/956923145
宁夏卫视,http://101.200.122.188:1234/738910535
重庆卫视,http://101.200.122.188:1234/738910914
三沙卫视,http://101.200.122.188:1234/961023778
赛事最经典,http://101.200.122.188:1234/646596895
体坛名栏汇,http://101.200.122.188:1234/629943305
四海钓鱼,http://101.200.122.188:1234/637444975
武术世界,http://101.200.122.188:1234/958475359
快乐垂钓,http://101.200.122.188:1234/961930263
优漫卡通频道,http://101.200.122.188:1234/626064703
经典香港电影,http://101.200.122.188:1234/625703337
抗战经典影片,http://101.200.122.188:1234/617432318
新片放映厅,http://101.200.122.188:1234/619495952
CHC影迷电影,http://101.200.122.188:1234/952383261
和美乡途轮播台,http://101.200.122.188:1234/713591450
南方影视,http://101.200.122.188:1234/614961829
中国天气,http://101.200.122.188:1234/959986621
山东教育,http://101.200.122.188:1234/609154353
